Ticker,Company_Name,Sector,Primary_Business
SCOM,Telcom,Telecom,Mobile telecomminications
EQTY,Equity Group Holidings,Banking,Conventional banking
KCB,KCB Group,Banking,Conventional banking
COOP,Co-operative Bank,Banking,Conventional banking
ABSA,Absa Bank Kenya,Banking,Conventional banking
SCBK,Standard Chartered,Banking,Conventional banking
EABL,East African Breweries,Alcohol,Brewing and spirits
BAT,British American Tobacco,Tobacco,Cigarettes 
BAMB,Bamburi Cement,Manufacturing,Cement Production
KEGN,KenGen,Energy ,Electricity generation
KPLC,Kenya Power,Utilities ,Electricity distribution
TOTL,TotalEnergies Marketing,Energy ,Fuel retail
JUB,Jubilee Holidings,Insurance,Conventional insurance
BRIT,Britam Holidings,Insurance,Conventional insurance
NMPG,Natonal Media group,Media,News and media
SASN,Sasini,Agriculture,Tea and coffee
CARB,Carbacid Invesments,Manufacturing,Industrial gas
CRWN,Crown Paints,Manufacturing,Paint production
UNGA ,Unga group,Food,Flour milling
WTK,Williamson Tea,Agriculture,Tea 
